player_id,player_name,standardized_name,all_teams,total_appearances,team1,team1_appearances,is_in_team1,team2,team2_appearances,is_in_team2,team3,team3_appearances,is_in_team3,is_retired
146,Nigel Martyn,Nigel Martyn,Leeds United,207,Leeds United,207,no,,0,no,,0,no,yes
8246,Ashley Barnes,Ashley Barnes,Burnley,206,Burnley,206,no,,0,no,,0,no,no
1337,David Dunn,David Dunn,Blackburn Rovers,204,Blackburn Rovers,204,no,,0,no,,0,no,yes
15202,Declan Rice,Declan Rice,West Ham United,204,West Ham United,204,no,,0,no,,0,no,no
1190,Lee Bowyer,Lee Bowyer,Leeds United,203,Leeds United,203,no,,0,no,,0,no,yes
75,Colin Hendry,Colin Hendry,Blackburn Rovers,203,Blackburn Rovers,203,no,,0,no,,0,no,yes
4437,Gareth McAuley,Gareth McAuley,West Bromwich Albion,203,West Bromwich Albion,203,no,,0,no,,0,no,yes
1005,James Beattie,James Beattie,Southampton,202,Southampton,202,no,,0,no,,0,no,yes
1629,Peter Crouch,Peter Crouch,Stoke City,202,Stoke City,202,no,,0,no,,0,no,yes
24334,Tyrick Mitchell,Tyrick Mitchell,Crystal Palace,202,Crystal Palace,202,yes,,0,no,,0,no,no
785,Steve Potts,Steve Potts,West Ham United,202,West Ham United,202,no,,0,no,,0,no,yes
3734,Jonas Olsson,Jonas Olsson,West Bromwich Albion,201,West Bromwich Albion,201,no,,0,no,,0,no,yes
228,David Wetherall,David Wetherall,Leeds United,201,Leeds United,201,no,,0,no,,0,no,yes
5514,Angelo Ogbonna,Angelo Ogbonna,West Ham United,201,West Ham United,201,no,,0,no,,0,no,no
1196,Matt Elliott,Matt Elliott,Leicester City,199,Leicester City,199,no,,0,no,,0,no,yes
3206,Shane Long,Shane Long,Southampton,198,Southampton,198,no,,0,no,,0,no,yes
2681,Wayne Routledge,Wayne Routledge,Swansea City,198,Swansea City,198,no,,0,no,,0,no,yes
522,Ken Monkou,kenneth monkou,Southampton,198,Southampton,198,no,,0,no,,0,no,yes
363,Robbie Mustoe,Robbie Mustoe,Middlesbrough,197,Middlesbrough,197,no,,0,no,,0,no,yes
886,Lucas Radebe,Lucas Radebe,Leeds United,197,Leeds United,197,no,,0,no,,0,no,yes
6519,Sadio Mané,Sadio Mané,Liverpool,196,Liverpool,196,no,,0,no,,0,no,no
3309,Lukasz Fabianski,Lukasz Fabianski,West Ham United,195,West Ham United,195,yes,,0,no,,0,no,no
16286,Rodri,Rodri,Manchester City,195,Manchester City,195,yes,,0,no,,0,no,no
3811,Nathan Redmond,Nathan Redmond,Southampton,195,Southampton,195,no,,0,no,,0,no,no
5595,Jordan Ayew,Jordan Ayew,Crystal Palace,195,Crystal Palace,195,no,,0,no,,0,no,no
8143,James Tarkowski,James Tarkowski,Burnley,194,Burnley,194,no,,0,no,,0,no,no
2323,Steven Taylor,Steven Taylor,Newcastle United,194,Newcastle United,194,no,,0,no,,0,no,yes
2616,Robin van Persie,Robin van Persie,Arsenal,194,Arsenal,194,no,,0,no,,0,no,yes
2423,Steven Davis,Steven Davis,Southampton,193,Southampton,193,no,,0,no,,0,no,yes
80,Jason Wilcox,Jason Wilcox,Blackburn Rovers,192,Blackburn Rovers,192,no,,0,no,,0,no,yes
2620,Gary Cahill,Gary Cahill,Chelsea,191,Chelsea,191,no,,0,no,,0,no,yes
8171,Solly March,Solly March,Brighton & Hove Albion,191,Brighton & Hove Albion,191,yes,,0,no,,0,no,no
122,Steve Ogrizovic,Steve Ogrizovic,Coventry City,191,Coventry City,191,no,,0,no,,0,no,yes
1595,Dietmar Hamann,Dietmar Hamann,Liverpool,191,Liverpool,191,no,,0,no,,0,no,yes
1033,Paul Telfer,Paul Telfer,Coventry City,191,Coventry City,191,no,,0,no,,0,no,yes
1455,Paul Jones,Paul Jones,Southampton,191,Southampton,191,no,,0,no,,0,no,yes
29,Ian Wright,Ian Wright,Arsenal,191,Arsenal,191,no,,0,no,,0,no,yes
153,Gareth Southgate,Gareth Southgate,Aston Villa,191,Aston Villa,191,no,,0,no,,0,no,yes
1740,Kieron Dyer,Kieron Dyer,Newcastle United,190,Newcastle United,190,no,,0,no,,0,no,yes
13492,N'Golo Kanté,N'Golo Kanté,Chelsea,190,Chelsea,190,no,,0,no,,0,no,no
1835,Robert Pirès,Robert Pirès,Arsenal,189,Arsenal,189,no,,0,no,,0,no,yes
66104,Gabriel Martinelli,Gabriel Martinelli,Arsenal,189,Arsenal,189,no,,0,no,,0,no,no
50234,Gabriel,gabriel magalhães,Arsenal,189,Arsenal,189,no,,0,no,,0,no,no
3388,Steven Pienaar,Steven Pienaar,Everton,189,Everton,189,no,,0,no,,0,no,yes
3121,Clint Dempsey,Clint Dempsey,Fulham,189,Fulham,189,no,,0,no,,0,no,yes
2018,Lucas Neill,Lucas Neill,Blackburn Rovers,188,Blackburn Rovers,188,no,,0,no,,0,no,yes
10766,Lewis Cook,Lewis Cook,Bournemouth,188,Bournemouth,188,no,,0,no,,0,no,no
3010,James Collins,James Collins,West Ham United,188,West Ham United,188,no,,0,no,,0,no,yes
1168,Chris Powell,Chris Powell,Charlton Athletic,187,Charlton Athletic,187,no,,0,no,,0,no,yes
1464,Luke Young,Luke Young,Charlton Athletic,187,Charlton Athletic,187,no,,0,no,,0,no,yes
79,Stuart Ripley,Stuart Ripley,Blackburn Rovers,187,Blackburn Rovers,187,no,,0,no,,0,no,yes
2413,Gaël Clichy,Gaël Clichy,Arsenal,187,Arsenal,187,no,,0,no,,0,no,yes
4472,Nacho Monreal,Nacho Monreal,Arsenal,187,Arsenal,187,no,,0,no,,0,no,yes
300,Garry Flitcroft,Garry Flitcroft,Blackburn Rovers,186,Blackburn Rovers,186,no,,0,no,,0,no,yes
54312,Miguel Almirón,Miguel Almirón,Newcastle United,186,Newcastle United,186,no,,0,no,,0,no,no
1866,Eidur Gudjohnsen,Eidur Gudjohnsen,Chelsea,186,Chelsea,186,no,,0,no,,0,no,yes
3063,Stiliyan Petrov,Stiliyan Petrov,Aston Villa,185,Aston Villa,185,no,,0,no,,0,no,yes
24626,Douglas Luiz,Douglas Luiz,Aston Villa,185,Aston Villa,185,yes,,0,no,,0,no,no
1632,Joe Cole,Joe Cole,Chelsea,184,Chelsea,184,no,,0,no,,0,no,yes
5859,Luka Milivojevic,Luka Milivojevic,Crystal Palace,183,Crystal Palace,183,no,,0,no,,0,no,no
1049,Harry Kewell,Harry Kewell,Leeds United,181,Leeds United,181,no,,0,no,,0,no,yes
